dia,nuevo,acumulado
1,1,1
2,1,2
3,3,12
4,5,17
5,2,19
6,2,21
7,10,31
8,3,34
9,11,45
10,11,56
11,9,65
12,14,79
13,19,97
14,31,128
15,30,158
16,67,225
17,41,266
18,36,301
19,84,385
20,117,502
21,87,589
22,101,690
23,55,745
24,75,820
25,146,966
26,88,1054
27,79,1133
28,132,1265
29,88,1353
30,98,1451
31,103,1554
32,74,1628
33,87,1715
34,80,1795
35,99,1894
36,81,1975
37,167,2142
38,66,2208
39,69,2277
40,166,2443
41,128,2571
42,98,2669
43,88,2757
44,81,2838
45,102,2940
46,90,3030
47,112,3142
48,144,3286
49,147,3433
50,172,3605
51,173,3778
52,112,3890
53,111,4001
54,124,4125
55,158,4283
56,143,4426
57,105,4531
58,149,4680
59,103,4783
60,104,4887
