,dia,nuevo,acumulado,df_ejer1,df_ejer2,df1_Richarson_4_O,df1_Richarson_error,df_ejer5
0,1,1,1,-3.5,6.5,-6.83333,3.33333,-12.16658516724392
1,2,1,2,5.5,10.25,3.91667,1.58333,9.166679166677415
2,3,3,12,7.5,4.5,8.5,1.0,8.500003000003
3,4,5,17,3.5,4.75,3.08333,0.41667,3.083332083332084
4,5,2,19,2.0,4.75,1.08333,0.91667,1.083330583330584
5,6,2,21,6.0,4.25,6.58333,0.58333,6.583335083335087
6,7,10,31,6.5,6.5,6.5,0.0,6.499999999999999
7,8,3,34,7.0,8.75,6.41667,0.58333,6.416664916664919
8,9,11,45,11.0,8.5,11.83333,0.83333,11.83333583333583
9,10,11,56,10.0,11.25,9.58333,0.41667,9.583332083332087
10,11,9,65,11.5,13.0,11.0,0.5,10.999998499998505
11,12,14,79,16.0,18.0,15.33333,0.66667,15.333331333331332
12,13,19,97,24.5,23.25,24.91667,0.41667,24.916667916667922
13,14,31,128,30.5,36.5,28.5,2.0,28.499993999994004
14,15,30,158,48.5,42.25,50.58333,2.08333,50.58333958333959
15,16,67,225,54.0,43.25,57.58333,3.58333,57.58334408334409
16,17,41,266,38.0,56.75,31.75,6.25,31.749981249981246
17,18,36,301,59.5,69.25,56.25,3.25,56.249990249990226
18,19,84,385,100.5,80.75,107.08333,6.58333,107.08335308335312
19,20,117,502,102.0,97.25,103.58333,1.58333,103.5833380833381
20,21,87,589,94.0,90.0,95.33333,1.33333,95.33333733333737
21,22,101,690,78.0,79.5,77.5,0.5,77.4999984999986
22,23,55,745,65.0,94.25,55.25,9.75,55.2499707499708
23,24,75,820,110.5,91.0,117.0,6.5,117.00001950001962
24,25,146,966,117.0,97.0,123.66667,6.66667,123.66668666668662
25,26,88,1054,83.5,111.25,74.25,9.25,74.24997224997232
26,27,79,1133,105.5,96.75,108.41667,2.91667,108.41667541667555
27,28,132,1265,110.0,99.25,113.58333,3.58333,113.58334408334422
28,29,88,1353,93.0,105.25,88.91667,4.08333,88.9166544166545
29,30,98,1451,100.5,90.75,103.75,3.25,103.75000975000975
30,31,103,1554,88.5,90.5,87.83333,0.66667,87.83333133333133
31,32,74,1628,80.5,86.0,78.66667,1.83333,78.66666116666127
32,33,87,1715,83.5,85.0,83.0,0.5,82.99999849999847
33,34,80,1795,89.5,86.75,90.41667,0.91667,90.41666941666952
34,35,99,1894,90.0,106.75,84.41667,5.58333,84.4166499166499
35,36,81,1975,124.0,103.25,130.91667,6.91667,130.9166874166876
36,37,167,2142,116.5,95.75,123.41667,6.91667,123.41668741668778
37,38,66,2208,67.5,117.0,51.0,16.5,50.99995049995084
38,39,69,2277,117.5,107.25,120.91667,3.41667,120.9166769166774
39,40,166,2443,147.0,115.25,157.58333,10.58333,157.58336508336507
40,41,128,2571,113.0,120.0,110.66667,2.33333,110.66665966665988
41,42,98,2669,93.0,98.75,91.08333,1.91667,91.08332758332773
42,43,88,2757,84.5,92.25,81.91667,2.58333,81.91665891665912
43,44,81,2838,91.5,90.25,91.91667,0.41667,91.91666791666819
44,45,102,2940,96.0,96.25,95.91667,0.08333,95.9166664166666
45,46,90,3030,101.0,112.0,97.33333,3.66667,97.33332233332243
46,47,112,3142,128.0,123.25,129.58333,1.58333,129.58333808333822
47,48,144,3286,145.5,143.75,146.08333,0.58333,146.08333508333527
48,49,147,3433,159.5,159.0,159.66667,0.16667,159.66666716666754
49,50,172,3605,172.5,151.0,179.66667,7.16667,179.6666881666883
50,51,173,3778,142.5,142.0,142.66667,0.16667,142.6666671666669
51,52,112,3890,111.5,130.0,105.33333,6.16667,105.33331483331483
52,53,111,4001,117.5,126.25,114.58333,2.91667,114.58332458332455
53,54,124,4125,141.0,134.0,143.33333,2.33333,143.33334033334108
54,55,158,4283,150.5,132.5,156.5,6.0,156.50001800001803
55,56,143,4426,124.0,138.75,119.08333,4.91667,119.08331858331928
56,57,105,4531,127.0,125.0,127.66667,0.66667,127.6666686666693
57,58,149,4680,126.0,115.25,129.58333,3.58333,129.58334408334412
58,59,103,4783,103.5,127.0,95.66667,7.83333,84.24994762499023
59,60,104,4887,104.5,91.75,108.75,4.25,154.41613279559897
