,iteracion,a,f(a),b,f(b),xr,f(xr),error
0,1.0,0.0001,-0.001467999829,0.01,0.187434946305,0.000176934736,-0.002553840485,0.002553840485
1,2.0,0.000176934736,-0.002553840485,0.01,0.187434946305,0.000308976959,-0.004329145194,0.004329145194
2,3.0,0.000308976959,-0.004329145194,0.01,0.187434946305,0.000527755384,-0.00702491597,0.00702491597
3,4.0,0.000527755384,-0.00702491597,0.01,0.187434946305,0.000869942824,-0.010626403059,0.010626403059
4,5.0,0.000869942824,-0.010626403059,0.01,0.187434946305,0.001359789368,-0.014474116492,0.014474116492
5,6.0,0.001359789368,-0.014474116492,0.01,0.187434946305,0.001979174221,-0.017126586568,0.017126586568
6,7.0,0.001979174221,-0.017126586568,0.01,0.187434946305,0.002650705007,-0.017192235471,0.017192235471
7,8.0,0.002650705007,-0.017192235471,0.01,0.187434946305,0.003268173366,-0.01464839203,0.01464839203
8,9.0,0.003268173366,-0.01464839203,0.01,0.187434946305,0.00375614252,-0.010853855694,0.010853855694
9,10.0,0.00375614252,-0.010853855694,0.01,0.187434946305,0.004097916374,-0.007248394947,0.007248394947
10,11.0,0.004097916374,-0.007248394947,0.01,0.187434946305,0.004317661078,-0.004514400852,0.004514400852
11,12.0,0.004317661078,-0.004514400852,0.01,0.187434946305,0.004451302354,-0.002691565802,0.002691565802
12,13.0,0.004451302354,-0.002691565802,0.01,0.187434946305,0.004529853655,-0.00156341755,0.00156341755
13,14.0,0.004529853655,-0.00156341755,0.01,0.187434946305,0.004575103374,-0.00089443382,0.00089443382
14,15.0,0.004575103374,-0.00089443382,0.01,0.187434946305,0.004600867867,-0.000507274496,0.000507274496
15,16.0,0.004600867867,-0.000507274496,0.01,0.187434946305,0.004615440654,-0.000286281628,0.000286281628
16,17.0,0.004615440654,-0.000286281628,0.01,0.187434946305,0.004623652301,-0.000161113991,0.000161113991
17,18.0,0.004623652301,-0.000161113991,0.01,0.187434946305,0.004628269695,-9.0529792e-05,9.0529792e-05
18,19.0,0.004628269695,-9.0529792e-05,0.01,0.187434946305,0.004630862951,-5.0823772e-05,5.0823772e-05
19,20.0,0.004630862951,-5.0823772e-05,0.01,0.187434946305,0.00463231842,-2.8518541e-05,2.8518541e-05
20,21.0,0.00463231842,-2.8518541e-05,0.01,0.187434946305,0.004633134997,-1.5998054e-05,1.5998054e-05
21,22.0,0.004633134997,-1.5998054e-05,0.01,0.187434946305,0.004633593034,-8.973024e-06,8.973024e-06
22,23.0,0.004633593034,-8.973024e-06,0.01,0.187434946305,0.004633849926,-5.032378e-06,5.032378e-06
23,24.0,0.004633849926,-5.032378e-06,0.01,0.187434946305,0.004633993996,-2.822189e-06,2.822189e-06
24,25.0,0.004633993996,-2.822189e-06,0.01,0.187434946305,0.00463407479,-1.58266e-06,1.58266e-06
25,26.0,0.00463407479,-1.58266e-06,0.01,0.187434946305,0.004634120098,-8.87533e-07,8.87533e-07
26,27.0,0.004634120098,-8.87533e-07,0.01,0.187434946305,0.004634145506,-4.9771e-07,4.9771e-07
27,28.0,0.004634145506,-4.9771e-07,0.01,0.187434946305,0.004634159754,-2.79108e-07,2.79108e-07
28,29.0,0.004634159754,-2.79108e-07,0.01,0.187434946305,0.004634167744,-1.56519e-07,1.56519e-07
29,30.0,0.004634167744,-1.56519e-07,0.01,0.187434946305,0.004634172225,-8.7768e-08,8.7768e-08
30,31.0,0.004634172225,-8.7768e-08,0.01,0.187434946305,0.004634174738,-4.9212e-08,4.9212e-08
31,32.0,0.004634174738,-4.9212e-08,0.01,0.187434946305,0.004634176147,-2.7594e-08,2.7594e-08
32,33.0,0.004634176147,-2.7594e-08,0.01,0.187434946305,0.004634176937,-1.5473e-08,1.5473e-08
33,34.0,0.004634176937,-1.5473e-08,0.01,0.187434946305,0.00463417738,-8.676e-09,8.676e-09
