,x,f(x),dfdx[x],f(x+dx)
0,0.0,2.0,8.5,2.085
1,0.01,2.085,8.301198,2.16801198
2,0.02,2.16801198,8.104784,2.2490598200000003
3,0.03,2.2490598200000003,7.910746,2.32816728
4,0.04,2.32816728,7.719072,2.405358
5,0.05,2.405358,7.52975,2.4806555
6,0.06,2.4806555,7.3427679999999995,2.55408318
7,0.07,2.55408318,7.158113999999999,2.6256643200000003
8,0.08,2.6256643200000003,6.975776,2.69542208
9,0.09,2.69542208,6.795742000000001,2.7633795
10,0.1,2.7633795,6.618,2.8295595000000002
11,0.11,2.8295595000000002,6.442538,2.89398488
12,0.12,2.89398488,6.269344,2.95667832
13,0.13,2.95667832,6.098406,3.01766238
14,0.14,3.01766238,5.929712,3.0769595
15,0.15,3.0769595,5.76325,3.134592
16,0.16,3.134592,5.5990079999999995,3.19058208
17,0.17,3.19058208,5.436973999999999,3.24495182
18,0.18,3.24495182,5.2771360000000005,3.2977231799999998
19,0.19,3.2977231799999998,5.119482,3.348918
20,0.2,3.348918,4.964,3.398558
21,0.21,3.398558,4.810677999999999,3.44666478
22,0.22,3.44666478,4.659504,3.49325982
23,0.23,3.49325982,4.510465999999999,3.53836448
24,0.24,3.53836448,4.363552,3.582
25,0.25,3.582,4.21875,3.6241874999999997
26,0.26,3.6241874999999997,4.076048,3.6649479799999995
27,0.27,3.6649479799999995,3.935434,3.7043023199999996
28,0.28,3.7043023199999996,3.7968959999999994,3.7422712799999998
29,0.29,3.7422712799999998,3.6604220000000005,3.7788755
30,0.3,3.7788755,3.526,3.8141355
31,0.31,3.8141355,3.393618,3.84807168
32,0.32,3.84807168,3.2632639999999995,3.88070432
33,0.33,3.88070432,3.134926,3.91205358
34,0.34,3.91205358,3.0085919999999993,3.9421394999999997
35,0.35000000000000003,3.9421394999999997,2.8842499999999998,3.970982
36,0.36,3.970982,2.761888000000001,3.9986008799999997
37,0.37,3.9986008799999997,2.641494,4.02501582
38,0.38,4.02501582,2.5230560000000004,4.05024638
39,0.39,4.05024638,2.406561999999999,4.074312
40,0.4,4.074312,2.292,4.097232
41,0.41000000000000003,4.097232,2.179357999999999,4.11902558
42,0.42,4.11902558,2.068624,4.13971182
43,0.43,4.13971182,1.9597860000000003,4.15930968
44,0.44,4.15930968,1.8528319999999994,4.1778379999999995
45,0.45,4.1778379999999995,1.74775,4.1953154999999995
46,0.46,4.1953154999999995,1.6445279999999993,4.21176078
47,0.47000000000000003,4.21176078,1.5431539999999995,4.2271923199999994
48,0.48,4.2271923199999994,1.4436160000000005,4.241628479999999
49,0.49,4.241628479999999,1.3459019999999988,4.255087499999999
50,0.5,4.255087499999999,1.25,4.267587499999999
51,0.51,4.267587499999999,1.1558980000000005,4.27914648
52,0.52,4.27914648,1.0635840000000005,4.28978232
53,0.53,4.28978232,0.9730459999999992,4.29951278
54,0.54,4.29951278,0.8842719999999993,4.308355499999999
55,0.55,4.308355499999999,0.7972500000000009,4.3163279999999995
56,0.56,4.3163279999999995,0.7119679999999988,4.323447679999999
57,0.5700000000000001,4.323447679999999,0.6284139999999985,4.329731819999999
58,0.58,4.329731819999999,0.546576,4.335197579999999
59,0.59,4.335197579999999,0.4664420000000007,4.339861999999999
60,0.6,4.339861999999999,0.3879999999999999,4.343741999999999
61,0.61,4.343741999999999,0.31123799999999946,4.346854379999999
62,0.62,4.346854379999999,0.23614399999999947,4.349215819999999
63,0.63,4.349215819999999,0.16270600000000002,4.350842879999998
64,0.64,4.350842879999998,0.09091199999999944,4.3517519999999985
65,0.65,4.3517519999999985,0.020749999999999602,4.351959499999999
66,0.66,4.351959499999999,-0.04779200000000117,4.351481579999999
67,0.67,4.351481579999999,-0.11472599999999922,4.350334319999999
68,0.68,4.350334319999999,-0.18006400000000156,4.348533679999999
69,0.6900000000000001,4.348533679999999,-0.24381800000000098,4.346095499999999
70,0.7000000000000001,4.346095499999999,-0.30600000000000094,4.343035499999999
71,0.71,4.343035499999999,-0.36662199999999956,4.339369279999999
72,0.72,4.339369279999999,-0.4256959999999985,4.335112319999999
73,0.73,4.335112319999999,-0.4832339999999995,4.3302799799999985
74,0.74,4.3302799799999985,-0.5392480000000006,4.324887499999998
75,0.75,4.324887499999998,-0.59375,4.318949999999998
76,0.76,4.318949999999998,-0.6467519999999993,4.312482479999998
77,0.77,4.312482479999998,-0.6982660000000003,4.305499819999998
78,0.78,4.305499819999998,-0.748304000000001,4.2980167799999975
79,0.79,4.2980167799999975,-0.7968779999999995,4.290047999999998
80,0.8,4.290047999999998,-0.8439999999999976,4.281607999999998
81,0.81,4.281607999999998,-0.8896820000000005,4.272711179999997
82,0.8200000000000001,4.272711179999997,-0.933936000000001,4.263371819999997
83,0.8300000000000001,4.263371819999997,-0.9767740000000025,4.253604079999997
84,0.84,4.253604079999997,-1.0182080000000013,4.243421999999997
85,0.85,4.243421999999997,-1.058250000000001,4.232839499999997
86,0.86,4.232839499999997,-1.0969119999999997,4.221870379999997
87,0.87,4.221870379999997,-1.134205999999999,4.210528319999997
88,0.88,4.210528319999997,-1.1701440000000005,4.198826879999997
89,0.89,4.198826879999997,-1.2047380000000008,4.1867794999999965
90,0.9,4.1867794999999965,-1.2379999999999995,4.174399499999996
91,0.91,4.174399499999996,-1.2699419999999986,4.161700079999997
92,0.92,4.161700079999997,-1.3005760000000013,4.148694319999996
93,0.93,4.148694319999996,-1.3299140000000005,4.135395179999996
94,0.9400000000000001,4.135395179999996,-1.3579679999999996,4.121815499999996
95,0.9500000000000001,4.121815499999996,-1.3847499999999986,4.107967999999996
96,0.96,4.107967999999996,-1.410271999999999,4.093865279999996
97,0.97,4.093865279999996,-1.4345459999999992,4.079519819999995
98,0.98,4.079519819999995,-1.4575840000000024,4.064943979999995
99,0.99,4.064943979999995,-1.4793980000000015,4.050149999999995
100,1.0,4.050149999999995,-1.5,4.035149999999995
